borough,ntaname,food_scrap_drop_off_site,location,hosted_by,open_months,operation_day_hours,notes,borocd,councildist,ct2010,latitude,longitude,precinct,object_id,location_point,_assembly_district,_congress_district,dsny_district,_dsny_section,dsny_zone,senate_district,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,website,app_android,app_ios,bbl,bin
Manhattan,Upper West Side (Central),NW Broadway & W 87 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",107,6,1017500,40.78907737,-73.97608351,24,42402,"{'type': 'Point', 'coordinates': [-73.97608351, 40.78907737]}",67,12,MN07,MN073,MN,47,12421,20,4,19,15,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=369,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364061'},,
Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,NE 2 Avenue & E 76 St,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",108,5,1013400,40.77142731,-73.95631212,19,42308,"{'type': 'Point', 'coordinates': [-73.95631212, 40.77142731]}",76,12,MN08,MN083,MN,28,12083,23,4,1,11,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=266,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363958'},,
Manhattan,East Harlem (North),NE East 120 Street & Madison Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",111,9,1019800,40.80237734,-73.94273579,25,42424,"{'type': 'Point', 'coordinates': [-73.94273579, 40.80237734]}",68,13,MN11,MN112,MN,30,13093,7,4,36,16,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=397,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364089'},,
Queens,Woodside,Rusty Wheelbarrow Farm,"72-02 Woodside Ave, Woodside, NY 11377",Rusty Volunteers,Year Round,Saturday (Start Time: 10:30 AM - End Time:  1:00 PM),,402,26,4048302,40.7427093,-73.892547,108,42540,"{'type': 'Point', 'coordinates': [-73.892547, 40.7427093]}",30,6,QW02,QW021,QW,12,14787,53,3,33,66,https://www.bigreuse.org/,,,,
Brooklyn,East New York (North),East New York Farms: Ashford Learning Garden,"341 Ashford St, Brooklyn, NY 11207",East New York Farms,March - November,24/7 (Start Time: 24/7 - End Time:  24/7),,305,42,3115000,40.674065,-73.885109,75,42519,"{'type': 'Point', 'coordinates': [-73.885109, 40.674065]}",54,8,BKN05,BKN051,BKN,19,17214,45,2,37,47,ucceny.org/enyf-old/compost/,,,,
Brooklyn,Crown Heights (North),SE Schenectady Avenue & Sterling Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",308,35,3035101,40.67155276,-73.93360522,77,42165,"{'type': 'Point', 'coordinates': [-73.93360522, 40.67155276]}",43,9,BKN08,BKN083,BKN,20,17615,16,2,49,49,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=181,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596363873'},,
Manhattan,Harlem (North),SE West 151 Street & Macombs Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",110,9,1023600,40.82625676,-73.93855724,32,42380,"{'type': 'Point', 'coordinates': [-73.93855724, 40.82625676]}",71,13,MN10,MN104,MN,30,13097,18,4,36,20,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=387,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364079'},,
Manhattan,Upper West Side (Central),NW W 82 St & Broadway,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",107,6,1017100,40.78596764,-73.9786452,20,42387,"{'type': 'Point', 'coordinates': [-73.9786452, 40.78596764]}",67,12,MN07,MN073,MN,47,12421,20,4,19,12,www.nyc.gov/smartcomposting,https://play.google.com/store/apps/details?id=com.bigbellysolar.nycsmartcompost&pli=344,{'url': 'https://apps.apple.com/us/app/nyc-smart-compost-by-bigbelly/id1596364036'},,
Bronx,Morrisania,Morrisania Farmstand,McKinley Square at 169th St & Boston Rd,GrowNYC,Year Round,Wednesday (Start Time: 10:00 AM - End Time:  1:00 PM),,203,17,2014900,40.831187,-73.900567,42,42551,"{'type': 'Point', 'coordinates': [-73.900567, 40.831187]}",79,15,BX03,BX031,BX,32,10934,34,5,42,25,grownyc.org/compost,,,,
Brooklyn,Crown Heights (North),Walt L Shamel Community Garden,"1097 Dean St, Brooklyn, NY 11216",Volunteers at Walt L Shamel Community Garden,End of March - January 30,Saturday and Sunday (Start Time: 12:00 PM - End Time:  2:00 PM),,308,35,3022100,40.67744,-73.953657,77,42148,"{'type': 'Point', 'coordinates': [-73.953657, 40.67744]}",57,9,BKN08,BKN081,BKN,20,17618,16,2,48,49,https://www.facebook.com/WaltLShamelCommunityGarden/,,,,
